track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min;
2Zq3Trov36G0TtrUt4ZklL,superstar,2,59,True,Artemas,74,1378935,,75FM00r9Lgdi0YHv7vvzzB,LOVERCORE,2025-10-24,14,album,2.82
31lp34zEvY603Xjkz2hrOo,limerence,2,13,False,Sopperior,30,2896,,4nqRc4Bxdhrr49RmHWkFus,orphic,2025-10-21,5,single,1.48
27sGm7McOlhSQ1szOJlpt8,MEGAFAUNA,1,24,True,Stanza,10,218,,17Jly2HpndZXgnbRZediYa,MEGAFAUNA,2025-10-14,1,single,2.87
0fOblXmOu0vHm0fa2RezCC,Alarm,1,18,False,Millo,5,429,,77C5CilG76Vovcb3mtKi09,Alarm,2025-10-10,1,single,3.02
3Du1WPZLhETDT6Jr4eumkU,ANYMORE,1,18,True,ASH7ON,7,308,,7l4BqichAiJVxsXmUcI2zh,ANYMORE,2025-10-10,1,single,2.91
7sgx2p6KPYPia5fowJNZzO,TBB,1,31,True,Sabir,18,435,,3cE0fQECVV51zi5yyXiTNE,TBB,2025-10-06,1,single,2.41
4O31bgaZWxZkF3uHrdyavg,Energy,1,40,False,Tolou,28,4401,,3RqIFGcrmoqWMV7t9S4lh2,Energy,2025-10-03,1,single,3.04
4hFt3Ht6b9OLsesqx51aq1,superstar,1,68,True,Artemas,74,1377042,,2r7vK3RnYfofnAkMruYhSI,superstar,2025-10-01,3,single,2.82
6DYul32gElizGgTrtRYrNY,gigolo,1,77,True,bbno$,78,2730121,,58Xf2l1m7iWhfwoRjx75C0,gigolo,2025-09-30,1,single,1.97
1rq8oj4pctDQiYTjmzl852,Alive,1,36,False,Lafferty,18,181,,5Ypa8QXUAcoNLON7Vvdft5,Alive,2025-09-25,1,single,2.81
1kO8TSZU0ORR4eJpirLPGW,DEPRESSED,1,69,True,Anne-Marie,75,12848260,,4wdp5hBwGx9AgqUoiCCDUV,DEPRESSED,2025-09-19,1,single,2.3
53OW7YksYVzJIWjQGYc4xI,Shangri-La,1,39,False,Egzod,62,225797,,2lSaIwhi64HvrBBxX9JsMV,Shangri-La,2025-09-18,1,single,3.31
6PdKA57lUIzOyptHfdZMva,Funeral,1,41,False,JeLa,44,1499,,5pSb2Kr9jVQyLp9H7P0obn,Funeral,2025-09-12,1,single,2.8
7lOVZltduRLXe6WTpdzDd4,Bloom,1,38,False,Shelita,23,462,,4h78HFCwljzgNCVjXQWy1i,Bloom,2025-08-22,1,single,3.41
3Vd5LhtK4BdKF1xv2m9Jvn,Fade,1,27,False,Shelita,23,462,,4dKcC3zpc2Jlo845dIijW2,Fade,2025-08-15,1,single,3.75
2tcz7HF2mUWvefPMq1RDF4,PRAY,1,45,False,Mandrazo,48,10272,,0PnBzz0Kl63sKtyKF12DSE,PRAY,2025-08-08,3,single,3.14
75kTndbdVt63ZZYo8mquvv,Clarity,1,53,False,Hanno,45,2752,,6wjN4wat4XT0BLQcN0br2z,Clarity,2025-08-07,1,single,2.97
5H1sKFMzDeMtXwND3V6hRY,JUMP,1,90,False,BLACKPINK,81,56152334,k-pop,3hzoZlx2KwtvJEUl9piPWr,JUMP,2025-07-11,1,single,2.74
6ghDayhHeBXAP4OOnnrFW9,David,11,78,False,Lorde,80,10541250,,28bHj2enHkHVFLwuWmkwlQ,Virgin,2025-06-27,11,album,3.41
7H7SIkUTvK6LTuadr2qmzl,Casual,1,34,True,Valentin,40,2157,,586RQCxat4GbnCU9EGBLSa,Casual,2025-06-27,1,single,3.76
1xOqGUkyxGQRdCvGpvWKmL,Gabriela,1,92,False,KATSEYE,82,5242034,k-pop,6rpin9IVOuBEWBYnrA9hft,Gabriela,2025-06-20,2,single,3.28
57Z6TJCTMACXxdrcwZ3Zvf,Phantom,8,82,True,EsDeeKid,74,253650,,1TP95xOGiWqdVOu4hGbuug,Rebel,2025-06-20,11,album,1.82
0bxPRWprUVpQK0UFcddkrA,Folded,1,88,False,Kehlani,78,8661889,,5enIvPn8EEPWMGxzBzxvcm,Folded,2025-06-11,1,single,3.96
71C6LlvFqLuytyi8p9XNMn,BF,1,42,False,YULEE,24,679,,6e34ShPH3xiSfqeCP2qUGO,BF,2025-06-11,1,single,2.75
0D6Imylw9Q5HZ48lj3tIw9,Centerfold,1,40,True,G-Epic,22,64,,205e8TWaT1CmbqYNm9OvYp,Centerfold,2025-06-11,1,single,3.07
7DQotDUGnJkXgNJv363GXF,Zombie,1,69,False,YUNGBLUD,73,3204129,,2VjTqSwV1IY3a4kFdurCVv,Zombie,2025-05-30,3,single,4.11
